from,to,relation,notes
Aubrac,GaulleAnthonioz,2,
Aubrac,Albrecht,2,
GaulleAnthonioz,Albrecht,2,
Casanova,Chomat,2,
Aubrac,Fourcade,0,
Aubrac,Tillion,0,
Aubrac,Casanova,0,
VailliantCouturier,Casanova,1,zsm Verhaftet
Aubrac,Spaak,0,
Aubrac,VailliantCouturier,0,
Chomat,VailliantCouturier,2,PCF
GaulleAnthonioz,Tillion,1,Ravensbrück
GaulleAnthonioz,Casanova ,0,
GaulleAnthonioz,Fourcade,0,
GaulleAnthonioz,VailliantCouturier,0,
GaulleAnthonioz,Albrecht,0,
GaulleAnthonioz,Spaak,0,
GaulleAnthonioz,BlochSerazin,0,
GaulleAnthonioz,Chomat,0,
Tillion,Casanova ,0,
Tillion,Fourcade,0,
Tillion,VailliantCouturier,1,zsm Verhaftet aber nicht gut
Tillion,Albrecht,0,
Tillion,Spaak,0,
Tillion,BlochSerazin,0,
Tillion,Chomat,0,
Fourcade,Casanova ,0,
Fourcade,VailliantCouturier,0,
Fourcade,Albrecht,0,
Fourcade,Spaak,0,
Fourcade,BlochSerazin,0,
Fourcade,Chomat,0,
Casanova,Albrecht,0,
Casanova,Spaak,0,
Casanova,BlochSerazin,2,PCF
VailliantCouturier,Albrecht,0,
VailliantCouturier,Spaak,0,
VailliantCouturier,BlochSerazin,1,
Albrecht,Spaak,0,
Albrecht,BlochSerazin,1,
Albrecht ,Chomat,1,
Spaak,BlochSerazin,0,
Spaak,Chomat,1,
BlochSerazin,Chomat,2,PCF